gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
TMEM92,No,Unknown,,Transmembrane protein,Membrane,Potential role in ion transport or signaling.
TMEM92-AS1,No,Unknown,,Non-coding RNA,Nucleus,Long non-coding RNA involved in gene regulation.
XYLT2,No,Unknown,Glycosylation ,Glycosyltransferase,Golgi,Involved in chondroitin sulfate biosynthesis.
MRPL27,No,Unknown,Ribosome Biogenesis,Mitochondrial ribosomal protein,Mitochondria,Essential for mitochondrial protein synthesis.
EME1,Yes,Unknown,Dna Repair,Protein,Nucleus,Role in DNA repair and maintenance of genome stability.
LRRC59,No,Unknown,,Leucine-rich repeat protein,Cytoplasm,Potential role in cell signaling pathways.
ACSF2,No,Unknown,Metabolic Processes,Enzyme,Cytoplasm,Involved in acyl-CoA metabolism and energy production.
MRPS21P9,No,Unknown,Ribosome Biogenesis,Mitochondrial ribosomal protein,Mitochondria,Role in mitochondrial ribosome function.
CHAD,No,Unknown,Immune Response,Cell surface protein,Membrane,Potential role in cell adhesion and immune response.
RSAD1,No,Unknown,Immune Response,Protein,Cytoplasm,Involved in antiviral responses and immune modulation.
MYCBPAP,Yes,Oncogene,Cell Cycle Regulation,Binding protein,Nucleus,Enhances MYC-induced transcription; involved in cell proliferation.
EPN3,No,Unknown,Endocytosis,Adapter protein,Cytoplasm,Involved in endosomal trafficking and cellular uptake.
SPATA20,Yes,Tumor suppressor,Various Cancer ,Protein-coding,Cytoplasm,Involved in spermatogenesis and may play a role in tumor suppression.
CACNA1G-AS1,Yes,Oncogene,Calcium Signaling,Non-coding RNA,Nucleus,Regulatory role in gene expression affecting calcium channels.
CACNA1G,Yes,Oncogene,Calcium Signaling,Voltage-gated calcium channel,Plasma membrane,"Plays a role in calcium ion transport, affecting cellular signaling."
ABCC3,Yes,Oncogene,Drug Metabolism,ATP-binding cassette (ABC),Plasma membrane,Involved in drug transport and multi-drug resistance in cancer.
ANKRD40,No,Unknown,,Ankyrin repeat-containing protein,Cytoplasm,Potential role in intracellular signaling pathways.
LUC7L3,No,Unknown,,Spliceosomal protein,Nucleus,"Involved in RNA splicing, may play a role in gene expression regulation."
ANKRD40CL,No,Unknown,,Ankyrin repeat-containing protein,Cytoplasm,Potentially involved in protein-protein interactions.
WFIKKN2,No,Tumor suppressor,Development And Cancer,Kunitz-type protease inhibitor,Extracellular matrix,Role in cellular signaling and potentially tumor suppression.
RPL5P33,No,Unknown,Ribosome Biogenesis,Ribosomal protein,Nucleus/Ribosomes,Involved in protein synthesis and ribosome assembly.
TOB1,Yes,Tumor suppressor,Various Cancer ,Transcription co-repressor,Nucleus,"Regulates cell cycle and apoptosis, potential tumor suppressor"
TOB1-AS1,No,Unknown,,Long non-coding RNA,Nucleus,May play a regulatory role in gene expression.
SPAG9,Yes,Oncogene,Various Cancer ,Protein-coding,Cytoplasm,May be involved in sperm motility and cancer progression.
NME1,Yes,Tumor suppressor,Metastasis,Nucleoside diphosphate kinase,Cytoplasm,Involved in tumor metastasis and cell migration.
NME2,Yes,Tumor suppressor,Metastasis,Nucleoside diphosphate kinase,Cytoplasm,Similar roles to NME1 in metastasis and cell growth.
NME1-NME2,Yes,Tumor suppressor,Metastasis,Fusion protein (NME1/NME2),Cytoplasm,Combining functions of NME1 and NME2 in cancer progression.
MBTD1,No,Unknown,Biochemical ,Protein-coding,Nucleus,Possible role in histone modification and transcription regulation.
UTP18,No,Unknown,Ribogenesis,Nucleolar protein,Nucleus,Involved in the assembly of ribosomal RNA.
LINC02071,No,Unknown,,Long non-coding RNA,Nucleus,Potential regulatory role in chromatin remodeling.
LINC02073,No,Unknown,,Long non-coding RNA,Nucleus,May participate in gene regulatory networks.
RPL7P48,No,Unknown,Ribosome Biogenesis,Ribosomal protein,Nucleus/Ribosomes,Involved in ribosome assembly.
CA10,No,Not classified,,Carbonic Anhydrase,Cytoplasm,Acid-base balance; may play a role in neuronal function.
LINC01982,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential regulatory function in cancer pathways.
LINC02089,No,Non-coding RNA,,Non-coding RNA,Nucleus,Potential role in gene regulation; involvement in cancer remains under investigation.
LINC02876,No,Non-coding RNA,,Non-coding RNA,Nucleus,May function in regulatory mechanisms; not well characterized in cancer.
MTCO1P40,No,Pseudogene,,Mitochondrial Protein,Mitochondria,Potential involvement in mitochondrial function; not classified in cancer.
RPS2P48,No,Pseudogene,,Ribosomal Protein,Cytoplasm,Involved in protein synthesis; lack of precise function in cancer.
KIF2B,Yes,Potential oncogene,Microtubule Dynamics,Kinesin,Cytoplasm,Involved in mitotic spindle assembly and cellular transport; dysregulation linked to cancer cell proliferation.
ISCA1P3,No,Non-coding RNA,,Non-coding RNA,Nucleus,Involved in iron-sulfur cluster biogenesis; role in cancer requires further study.
ARL2BPP8,No,Pseudogene,,Small GTPase,Cytoplasm,Role in cell signaling processes; under investigation in cancer context.
RN7SKP14,No,Non-coding RNA,,Non-coding RNA,Nucleus,Involved in regulation of RNA polymerase; potential roles in cancer through RNA regulation.
TOM1L1,No,Not classified,,E3 Ubiquitin Ligase,Cytoplasmic Membrane,Role in endocytic pathway; implications in cancer not well-established.
COX11,Yes,Oncogene,Mitochondrial Function,Protein,Mitochondria,Essential for cytochrome c oxidase assembly; potential link to cancer metabolism.
STXBP4,Yes,Oncogene,Vesicle Transport,Syntaxin binding protein,Cytoplasm,Involved in synaptic vesicle release; alterations linked to cancer cell signaling.
HLF,Yes,Oncogene,Hyperplasia ,Transcription Factor,Nucleus,Regulates genes involved in cellular growth; implicated in certain cancers.
MMD,No,Tumor suppressor,Rna Processing,RNA binding protein,Nuclear Speckles,Involved in RNA metabolism; its role in cancer is under investigation.
SMIM36,No,Not classified,,Small Integral Membrane Protein,Membrane,Role in cell membrane dynamics; association with cancer not well described.
GARS1P1,No,Pseudogene,,Aminoacyl-tRNA synthetase,Cytoplasm,Potential role in protein synthesis; implications in cancer are uncertain.
RNU6-1249P,No,Non-coding RNA,,Non-coding RNA,Nucleus,Involved in RNA processing; role in cancer is not well established.
TMEM100,No,Not classified,,Transmembrane Protein,Membrane,Proposed roles in various cellular processes; cancer involvement remains unclear.
PCTP,No,Not classified,Lipid Metabolism,Protein,Cytoplasm,Involved in lipid transport; its role in cancer has yet to be clearly defined.
ANKFN1,No,No,,Ankyrin repeat protein,Cytoplasm,May be involved in protein-protein interactions
RPL39P33,No,No,,Ribosomal protein,Cytoplasm,"Component of the ribosome, involved in protein synthesis"
NOG,No,No,Bmp Signaling ,Secreted protein,Extracellular,"Antagonist of BMP, involved in bone and tissue development"
C17orf67,No,No,,Unknown,Unknown,Limited functional data available
DGKE,No,No,,Diacylglycerol kinase,Cytoplasm,Involved in lipid signaling pathways
RNU6-1158P,No,No,,snRNA,Nucleus,Involved in spliceosomal RNA processing
TRIM25,No,Yes,Mapk Signaling ,E3 ubiquitin ligase,Cytoplasm,Involved in immune response and signal transduction
MIR3614,No,No,Mirna ,MicroRNA,Nucleus/Cytoplasm,Regulation of gene expression via RNA silencing
COIL,No,No,,Coiled-coil protein,Cytoplasm,"Potential role in structural function, very limited data"
SCPEP1,No,No,,Serine peptidase,Cytoplasm,Involved in peptide metabolism
RNF126P1,No,No,,E3 ubiquitin ligase,Cytoplasm,Involved in protein degradation pathways
AKAP1-DT,No,No,,Long non-coding RNA,Nucleus,Regulatory role in protein kinase signaling
AKAP1,No,No,Camp Signaling ,A-kinase anchoring protein,Cytoplasm,Anchors protein kinase A to specific substrates
MSI2,No,Yes,Notch Signaling ,RNA-binding protein,Cytoplasm/Nucleus,Regulates RNA binding and cell proliferation
RN7SL449P,No,No,,snRNA,Nucleus,Involved in splicing mechanisms
RNU7-134P,No,No,,snRNA,Nucleus,"Spliceosomal RNA, role in pre-mRNA splicing"
CCDC182,No,No,,Coiled-coil protein,Unknown,Limited functional data available
RN7SKP94,No,No,,snRNA,Nucleus,Stabilizes and enhances transcription of snRNA
MRPS23,No,No,Mitochondrial Function,Mitochondrial ribosomal protein,Mitochondria,Involved in protein synthesis in mitochondria
CUEDC1,No,No,Cell Cycle Regulation,Unknown,Cytoplasm,May regulate cell cycle progression and stability
VEZF1,Yes,Oncogene,Angiogenesis,Transcription Factor,Nucleus,Regulates gene expression involved in vasculature.
SRSF1,Yes,Oncogene,Rna Splicing,Splicing Factor,Nucleus,Essential for mRNA processing and splicing.
DYNLL2-DT,No,N/A,,Non-coding RNA,N/A,"Potential regulatory role, specific function unclear"
DYNLL2,No,N/A,Cellular Transport,Adapter Protein,Cytoplasm,Involved in dynein motor functions and intracellular transport.
OR4D1,No,N/A,Olfactory Signaling,G Protein-Coupled Receptor,Membrane,Olfactory receptor involved in the sensory pathway.
MSX2P1,No,N/A,Developmental ,Non-coding RNA,N/A,Potential role in regulation of expression during development.
OR4D2,No,N/A,Olfactory Signaling,G Protein-Coupled Receptor,Membrane,Olfactory receptor involved in the sensory pathway.
EPX,No,N/A,Immune Response,Protein,Cytoplasm,Involved in eosinophil function and allergic responses.
MKS1,Yes,Tumor Suppressor,Ciliopathies,Protein,Cilia,Involved in the formation and function of cilia.
LPO,No,N/A,Immune Response,Enzyme,Cytoplasm,May play a role in innate immunity as part of the inflammatory response.
MPO,No,N/A,Immune Response,Enzyme,Cytoplasm,Involved in microbial killing by neutrophils.
TSPOAP1,No,N/A,Cellular Metabolism,Protein,Mitochondria,Role in steroidogenesis and apoptotic processes.
TSPOAP1-AS1,No,N/A,,Non-coding RNA,N/A,"Potential regulatory role, specific function unclear"
MIR142,No,N/A,Post-Transcriptional Regulation,MicroRNA,N/A,Regulates gene expression by targeting mRNAs.
MIR4736,No,N/A,Post-Transcriptional Regulation,MicroRNA,N/A,Potential role in regulating genes associated with cancer progression.
SUPT4H1,No,N/A,Rna Processing,Protein,Nucleus,Involved in RNA polymerase II transcription and processing.
RNF43,Yes,Tumor Suppressor,Wnt Signaling ,E3 Ubiquitin Ligase,Cytoplasm,"Regulates Wnt signaling, implicated in colorectal cancer."
HSF5,No,N/A,Stress Response,Transcription Factor,Nucleus,Plays a role in heat shock response and cellular stress.
SETP3,No,N/A,,Protein,N/A,"Specific function unclear, but potential roles in various cellular processes."
MTMR4,No,N/A,Lipid Signaling,Protein Phosphatase,Cytoplasm,Involved in lipid metabolism and possibly signaling pathways.
SEPTIN4-AS1,No,No,Possibly Associated With Cancer,Non-coding RNA,Nucleus/Cytoplasm,Regulatory role in cell division (long non-coding RNA)
SEPTIN4,Yes,Tumor Suppressor,Cell Division,GTPase,Cytoplasm,Important for cytokinesis and cell cycle progression
TEX14,Yes,Oncogene,Cell Cycle,Protein,Cytoplasm,Essential for tumorigenesis and cell division
IGBP1P2,No,No,Immune Response,Non-coding RNA,Nucleus,Potential regulatory role in immune signaling
RNU1-108P,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
RNU1-52P,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
RNVU1-34,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
RAD51C,Yes,Tumor Suppressor,Dna Repair,Protein,Nucleus,Key role in homologous recombination for DNA repair
PPM1E,No,No,Cell Cycle Regulation,Protein Phosphatase,Cytoplasm,Involved in dephosphorylation of various substrates
RNU6-518P,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
TRIM37,Yes,Oncogene,Cell Proliferation,E3 Ubiquitin Ligase,Cytoplasm,Modulates protein degradation and cell proliferation
RN7SL716P,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
SKA2,Yes,Oncogene,Mitotic Spindle Assembly,Protein,Cytoplasm,Regulates chromosomal stability during mitosis
RNU2-58P,No,No,Rna Processing,Non-coding RNA,Nucleus,Components of small nuclear RNAs (snRNAs)
MIR454,No,No,Regulates Gene Expression,MicroRNA,Cytoplasm,Involved in post-transcriptional gene regulation
MIR301A,No,Oncogene,Cell Proliferation,MicroRNA,Cytoplasm,Involved in regulating proliferation and metastasis
PRR11,Yes,Oncogene,Cell Cycle,Protein,Cytoplasm,Possibly involved in cell proliferation
SPDYE22P,No,No,,Non-coding RNA,Unknown,"Putative regulatory roles, specific functions not well-characterized"
SMG8,No,No,Rna Surveillance,Protein,Cytoplasm,Involved in nonsense-mediated decay of mRNA
GDPD1,No,No,Metabolism,Enzyme,Cytoplasm,Plays a role in lipid metabolism and cellular signaling
SNRPGP17,No,Unknown,,Non-coding RNA,Nucleus,Involved in RNA splicing.
YPEL2,Yes,Tumor Suppressor,Cell Cycle Regulation,Protein,Cytoplasm,May regulate cell proliferation and apoptosis.
MIR4729,No,Oncogene,,miRNA,Nucleus,Regulates gene expression post-transcriptionally.
LINC01476,No,Unknown,,Long ncRNA,Nucleus,Possible regulatory role in gene expression.
RNU4-13P,No,Unknown,,Non-coding RNA,Nucleus,Involved in RNA splicing; regulates RNA processing.
DHX40,Yes,Oncogene,Rna Metabolism,ATP-dependent helicase,Nucleus,"Involved in RNA helicase activity, critical for splicing."
CLTC,Yes,Oncogene,Endocytosis,Protein,Cytoplasm,Involved in clathrin-mediated endocytosis; plays a role in cellular uptake of molecules.
PTRH2,No,Unknown,,Protein,Cytoplasm,May play a role in mitochondrial function and apoptosis.
VMP1,Yes,Oncogene,Autophagy,Protein,Cytoplasm,Involved in autophagy; may play a role in tumorigenesis.
MIR21,Yes,Oncogene,Apoptosis Regulation,miRNA,Nucleus,Known to promote cell survival and proliferation; often upregulated in cancers.
RNU6-450P,No,Unknown,,Non-coding RNA,Nucleus,Plays a role in RNA splicing.
TUBD1,No,Unknown,,Protein,Cytoplasm,Associated with microtubule organization and cell division.
NDUFB8P2,No,Unknown,Oxidative Phosphorylation,Protein,Mitochondria,"Involved in mitochondrial function, electron transport."
RPS6KB1,Yes,Oncogene,Mtor Signaling,Kinase,Cytoplasm,Plays a role in growth and metabolism; associated with cancer progression.
RPS29P21,No,Unknown,,Ribosomal protein,Cytoplasm,Involved in protein synthesis.
RNFT1,No,Unknown,,Protein,Nucleus,Possible regulatory role in transcription.
TBC1D3P1-DHX40P1,No,Unknown,,Protein,Cytoplasm,Role unclear; possible involvement in cellular signaling.
RNFT1-DT,No,Unknown,,Long ncRNA,Nucleus,Potentially involved in transcriptional regulation.
DHX40P1,No,Unknown,,Protein,Nucleus,Role in RNA metabolism; may have regulatory functions.
TBC1D3P1,No,Unknown,,Protein,Cytoplasm,Possible role in endosomal transport or signaling.
MIR4737,Yes,Tumor Suppressor,Mirna Regulatory ,MicroRNA,Cytoplasm,Regulation of gene expression through RNA interference
HEATR6,No,Oncogene,,Protein,Nucleus,RNA processing and ribosome assembly
HEATR6-DT,No,N/A,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression
WFDC21P,No,N/A,,Pseudo-gene,N/A,Likely non-functional or regulatory roles
CA4,No,Oncogene,Angiogenesis ,Carbonic Anhydrase,Cytoplasm,pH regulation and bicarbonate transport in endothelial cells
USP32,Yes,Oncogene,Cell Cycle And Apoptosis,DUB (deubiquitinase),Cytoplasm,Regulation of protein stability and involvement in cell cycle contro
SCARNA20,No,N/A,,Small nucleolar RNA,Nucleus,Maturation and modification of rRNA
RPL32P32,No,N/A,,Ribosomal protein,Cytoplasm,Structural component of ribosomes
H3P42,No,N/A,,Histone,Nucleus,DNA packaging and gene regulation
C17orf64,No,N/A,,Protein,Nucleus,"Unknown, potential roles in cell regulation"
RPL12P38,No,N/A,,Ribosomal protein,Cytoplasm,Structural component of ribosomes
APPBP2,No,Oncogene,Alzheimer’s Disease ,Protein,Cytoplasm,Involved in the processing of amyloid precursor protein
LINC01999,No,N/A,,Long non-coding RNA,Nucleus,Regulatory roles in gene expression; functions not fully understood
RPSAP66,No,N/A,,Small nucleolar RNA,Nucleus,Regulation of ribosome biogenesis
PPM1D,Yes,Tumor Suppressor,"Dna Damage Repair, P53 Signaling",Protein phosphatase,Cytoplasm,Negative regulator of p53; involved in cellular stress responses
RNU6-623P,No,N/A,,Small nuclear RNA,Nucleus,Role in RNA splicing
BCAS3,Yes,Oncogene,Breast Cancer ,Protein,Cytoplasm,Involved in breast cancer pathology; function somewhat unclear
RN7SL606P,No,N/A,,Small nucleolar RNA,Nucleus,Regulation of rRNA methylation
